--- Terminal on /dev/ttyUSB0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
GEARS MODE
[FeedbackStepper] Shift from 0 to -293872
Expected (avg) delay: 485	Measured (avg) delay: 518.31
Encoder reading: -356454		Average error: -0.64
Total correction: 12876
-80	-77	-19
-80	-85	-13
-80	-88	-11
-80	-93	-7
-80	-95	-5
-80	-108	4
-80	-117	11
-80	-120	13
-80	-131	22
-80	-138	27
-80	-140	29
-80	-126	18
-80	-127	19
-80	-114	9
-80	-104	1
-80	-101	-1
-80	-91	-8
-80	-87	-12
-80	-79	-18
-80	-80	-17
-80	-82	-15
-80	-79	-18
-80	-85	-13
-80	-92	-8
-80	-97	-4
-80	-97	-4
-80	-111	6
-80	-115	9
-80	-158	43
-80	-28	-58
-80	-18	-65
-80	-8	-73
-81	-117	10
-80	-126	20
-84	-122	11
-88	-141	22
-80	-85	-13
-80	-89	-10
-80	-87	-12
-80	-78	-19
-80	-79	-18
-80	-83	-15
-80	-81	-16
-80	-83	-15
-80	-84	-14
-80	-90	-9
-80	-99	-2
-80	-108	4
-80	-107	3
-80	-125	17
-80	-131	22
-80	-129	20
-80	-141	30
-80	-133	23
-80	-128	20
-80	-114	9
-80	-109	5
-80	-101	-1
-80	-89	-10
-80	-87	-12
-80	-85	-13
-80	-76	-20
-80	-81	-16
-96	-101	-17
-80	-82	-15
-80	-89	-10
-80	-99	-2
-80	-102	0
-80	-105	2
-80	-117	11
-80	-120	13
-80	-119	12
-80	-124	16
-80	-120	13
-80	-117	11
-80	-102	0
-80	-103	0
-80	-96	-4
-80	-84	-14
-80	-87	-12
-80	-83	-15
-80	-81	-16
-80	-79	-18
-80	-83	-15
-80	-88	-11
-80	-90	-9
-80	-98	-3
-80	-108	4
-80	-118	12
-80	-118	12
-80	-135	25
-80	-135	25
-80	-139	28
-80	-128	20
-80	-125	17
-80	-118	12
-80	-103	0
-80	-99	-2
-80	-92	-8
-80	-81	-16
-80	-84	-14
-80	-81	-16
-80	-81	-16
-80	-79	-18
-80	-86	-12
-80	-91	-8
-80	-93	-7
-80	-102	0
-80	-110	5
-80	-117	11
-80	-114	9
-80	-125	17
-80	-124	16
-80	-114	9
-80	-117	11
-80	-108	4
-80	-103	0
-80	-92	-8
-80	-88	-11
-80	-87	-12
-80	-83	-15
-80	-76	-20
-80	-83	-15
-80	-84	-14
-80	-83	-15
-80	-93	-7
-80	-101	-1
-80	-107	3
-80	-112	7
-80	-125	17
-80	-132	23
-80	-132	23
-80	-137	27
-80	-134	24
-80	-127	19
-80	-110	5
-80	-109	5
-80	-100	-1
-80	-86	-12
-80	-87	-12
-80	-83	-15
-80	-81	-16
-80	-78	-19
-80	-82	-15
-80	-87	-12
-80	-91	-8
-80	-91	-8
-80	-105	2
-80	-104	1
-80	-115	9
